SUPT4H1 	HTATIP2
PPP2R3B 	TJP1
KAT8 	BRD1
GCC2 	CDK4
BTBD2 	NUDT5
F2RL3 	TRAPPC6B
SNRPB 	DNMT3A
SOX9 	RAB6A
IPO13 	STK10
PAK6 	THEM5
PPP2R1A 	LANCL1
BRK1 	UBE2D3
DAPK1 	CHKA
NR1I3 	PSMD10
YOD1 	EIF4E2
MAP1LC3C 	LY86
PVRL4 	MAP2K4
DDX58 	LGR4
ADAMTS5 	KDM8
RRAD 	SAT1
PGLYRP4 	EP300
GLTP 	DMAP1
TNFRSF4 	ERI3
RPSA 	CDC25C
TPX2 	USP5
CYP19A1 	RNF41
CHMP4C 	PLEKHO1
ARHGEF12 	DUT
TNFRSF13C 	UBE2T
G6PD 	CTBP2
SCML2 	PTS
AKR1D1 	PDE7A
TPMT 	KLHL11
PLEKHB2 	PIK3R2
PPP1CA 	PHF8
TAF1 	DTX3L
ACY1 	PRSS8
RAB6B 	CCNK
AKR1C4 	CABP1
NXF1 	ANTXR2
HSCB 	IHH
CLK3 	APOM
SNRPA1 	COL10A1
NOD1 	KDM2A
TAF5 	PANK3
TNFSF10 	RMI2
GSTP1 	UBA52
SPIN1 	HMGCR
DTX3L 	FKBP2
GAD1 	FBN1
BLVRA 	SPHK1
FLT3 	ERN1
DPY30 	CCDC101
STAP1 	MAD2L1BP
RHOD 	BOC
SIGLEC7 	ARFGEF2
ANXA8 	TPK1
NUDT2 	MYBPC3
MTMR2 	DPYS
AKR1D1 	TRAF6
APOBEC3C 	BCL2
CCNT1 	NOS3
MINA 	MAP1LC3A
NCF2 	HADH
PDXP 	SPTB
ESRRG 	PRPF4B
TP73 	ATF2
EIF5 	LYPLAL1
SPINT1 	CSTB
HMBOX1 	PTPRR
RNF31 	NR2C2
GAMT 	VPS36
NDNL2 	RGS7
ZHX1 	GRIA2
CDK2 	ATG4A
EDC3 	IQGAP1
GNPNAT1 	SYNE1
RAP1A 	DCLRE1B
KYNU 	MVK
ALDH4A1 	STAMBP
PMM2 	STX10
NME3 	MEF2A
ACAT2 	FEN1
GSTT2B 	KIF22
PABPC3 	GEMIN2
MBNL1 	CCNDBP1
CBX8 	SDS
PDZK1 	PNP
PARP2 	AMD1
ITK 	NCR3
PIM1 	RPL30
GNAI1 	GOPC
TES 	TAT
TXNDC5 	HRSP12
ACVR2A 	LASP1
SPHK1 	SERPINB1
NFKB2 	GATM
ADK 	TNFRSF13C
PREX1 	DUSP9
CYP1B1 	SNX9
DCUN1D3 	RAB26
BRD2 	TDG
DCUN1D3 	ACSS1
MCEE 	HGFAC
PBRM1 	DUSP5
PMS2 	CHP2
CDY1 	GTF2B
BBOX1 	SRP19
NUP43 	CHIA
ARSB 	ERCC3
NCR3 	PRKG1
IL5RA 	SCRIB
ENAH 	MAP1LC3A
DKK1 	SNRNP200
ATXN2 	MMAB
POLL 	NPM2
CAPN9 	UGDH
ROS1 	PHIP
POLR3C 	ANTXR1
NUDT14 	POLB
PARP14 	AKR1C4
DUSP10 	RNF41
ACACA 	TOP2B
SF3B14 	ZBTB7A
AKR1B10 	BRCA2
ERCC1 	RSPO1
GLIPR2 	CXADR
E2F1 	HIRA
C3 	ADK
OTUB1 	KCNIP1
PDIA5 	GALNT10
DHPS 	B3GAT3
ZHX2 	HBB
ADAM22 	MET
SRSF1 	BAI3
APPL1 	SFN
KLC2 	HIRA
PNMT 	MAP2K1
PALB2 	MAN1B1
CHMP1B 	AIMP1
NEK7 	CXADR
FNTA 	PPP5C
BAIAP2 	KIF1A
RUVBL2 	CKS2
RPL10 	CALM3
ITK 	GEM
EIF4A3 	SERPINE1
BRK1 	GSTA4
S100A16 	BACH1
PIM1 	DUSP9
GADD45G 	APBB1IP
TNFSF10 	RAB11B
STYX 	SRI
CDK9 	ARNTL
IST1 	ADAMTS13
ABCB10 	PGR
SEPT3 	CASK
NLRP4 	JAK2
CLEC9A 	SATB1
SNX9 	RPA3
GLTP 	ADA
WARS 	ALOX12
PVRL1 	APBB1IP
PKD2 	F2RL3
RAD1 	OXSM
TLR1 	GMFG
MAGOH 	CASP7
CKMT2 	SKAP1
DUSP13 	TOP2A
TOP2B 	PDE6D
PTP4A1 	RAB3B
DPP4 	MALT1
DDX10 	STIM1
NEO1 	FLNA
GDA 	CYGB
YWHAQ 	RASEF
RAB1A 	BAX
NHP2L1 	CCNB1
PRDX2 	NR1H4
API5 	ARNT
SNRNP200 	CAPN13
FAF1 	WEE1
TXNRD1 	JAK2
FOS 	BCAR3
DCAF6 	CYP2R1
RAB11B 	CLCNKA
EIF3K 	LGALS9
NAMPT 	PVRL4
AIF1 	BRD1
ADAR 	MAD1L1
PPP2R3A 	SENP2
CACYBP 	PAK4
SH2D3C 	JAG1
L3MBTL2 	TREML1
SYMPK 	VRK3
MCIDAS 	SUFU
GIMAP2 	PABPC3
ATL1 	CACNA1S
TXNL4B 	PSME1
CASP1 	MSN
SENP2 	MATK
PDZD3 	PLXNA4
HMGCS2 	MLYCD
GCC2 	SACS
CNOT6L 	PPP5C
FCER2 	MAP3K5
NXT1 	VPS25
FCER2 	HSPBP1
BRPF1 	FES
ASH1L 	CD2AP
CBFB 	S100A8
EIF2B1 	TRDMT1
DUSP22 	DUSP4
RNF146 	POLD3
DHX58 	NUDT9
FCRLA 	RAB9B
CLEC9A 	RAB14
TLR3 	RGS7
CDYL2 	KIF16B
ABHD14B 	HDDC3
SMURF2 	ANGPT1
GUSB 	CENPB
PRDX1 	AGO2
PARK7 	MDM4
PTPRZ1 	BIRC7
OLR1 	EIF4A1
PTPN6 	SMS
SULT2B1 	DCX
PTRH2 	UBE2K
PREP 	AKR1C3
RAE1 	CYB5R4
SYTL4 	PPT2
APLP1 	CDK6
PGLYRP3 	PDE2A
CTDP1 	ZWILCH
SNTB2 	COMTD1
RNPS1 	TBX1
CAT 	ZFPM1
PITRM1 	EPAS1
NCF1 	GLP1R
MINA 	NPM2
VIM 	ATOX1
CNOT1 	TP53I3
KDM4E 	MEF2A
MTOR 	RMI2
MLYCD 	NTNG2
RAB35 	RELA
KRIT1 	CUTC
BTLA 	GPX7
MTRR 	TGFBI
THAP4 	TBC1D7
MAD2L2 	NCOA1
EGFR 	BPTF
CDC42 	HS3ST5
STK4 	ZBTB33
TP53I3 	CDC16
PACSIN2 	SEC13
GAPDHS 	YY1
EIF4A1 	GSTT2
CAMK2G 	HEBP2
NPC1L1 	UBE2V2
ZRANB2 	CSNK2B
BPNT1 	DNMT3L
BCAP31 	SOCS2
EBF1 	POLL
SEC24A 	PTPN13
KDM5A 	PLXNB2
DDB2 	PEA15
CD180 	LMNB1
DHX58 	BCAR3
HK2 	SMURF1
GART 	KRAS
CHKA 	AHI1
TRADD 	CDC42BPB
SSU72 	NCOA3
MCEE 	NDOR1
ERCC1 	INPP5B
CLIC3 	TOP2B
SENP8 	MDC1
PVRL2 	PDLIM5
LEPR 	MIOX
MAPT 	EZH2
HSPB11 	SULT4A1
ACADVL 	PARP16
ZBTB48 	FTO
MAGOH 	ZBTB48
SPAG9 	GINS3
NHEJ1 	FAP
HUS1 	CCDC101
MACROD2 	DNM1L
ETS1 	HSDL2
HEXIM1 	ADPRH
AIFM1 	CPSF3
TPRKB 	UNG
OGT 	FGF1
CBX3 	ISG20
PTPN3 	CREBBP
RNLS 	KPNA2
CD274 	TUBG1
FGFR1OP 	CAPS
NCS1 	PLK1
PDIA4 	KHK
PTPRN2 	RGS17
RECQL 	NUDT3
HSPA1B 	NFATC2IP
BTF3 	CCND1
HIST1H1E 	IMPA1
TPI1 	ATL1
OXSM 	ARL5A
CFLAR 	KDM8
TERT 	CTNNA1
PRKCE 	HERC2
RNASEH2B 	ARNTL
CDC7 	EDIL3
MYH9 	IHH
PPM1A 	NFASC
IL20RA 	SPEN
KCNJ4 	PNLIPRP1
FOLR2 	MVD
ZG16 	CDK5R1
NLGN4X 	GOSR2
APOBEC2 	CEP170
NDEL1 	CUTC
NUDT18 	VPS25
SPTAN1 	CALM2
MACROD2 	PGR
REM1 	EGFR
CAMK1D 	GSTZ1
PPIP5K2 	CBX3
PDE1B 	NCBP1
MAPKAP1 	TREML1
SF3B14 	VEGFC
AP2B1 	NMNAT1
CAPN2 	OS9
ESR2 	TAF11
HMOX1 	PLXNA2
DKK1 	LCK
OXCT1 	RNF43
JMJD1C 	AKR1C2
FBLIM1 	PDCD6IP
ETFB 	DDX41
RGS8 	ARHGAP15
CTNNBIP1 	SSH2
MCPH1 	NR1D1
DHX9 	RAB6B
AHCYL1 	YWHAQ
APOBEC3G 	RCVRN
UPF2 	ARF5
BRCA1 	GFRA3
CD44 	NDOR1
PLXNB2 	GSTT2B
DCAF6 	RAB28
DOT1L 	DOCK1
DYNLL2 	PEX5
VWF 	CYP1A2
SSB 	GPX5
BRD2 	CDKN3
GRIN1 	EPHA3
ALDH4A1 	FOXP2
PARP16 	CARM1
RAPH1 	SSB
CKB 	PDLIM5
CDO1 	F10
GMDS 	KCNQ1
TBRG1 	WDR92
PA2G4 	MPP7
EME1 	OBFC1
PPP5C 	CAB39
ATAT1 	NLGN4X
NR1H4 	KCTD5
ADSL 	EP300
COL1A1 	DDAH1
KIF9 	TCEA1
TREX2 	WARS
PNPT1 	CWC27
RANBP2 	ARL5B
PHYH 	CST7
FOS 	BCAP31
RBL1 	UPF3B
AQP4 	SKI
EIF2B5 	PARP1
NUDT5 	BCL2
BCAR1 	PSMF1
NCBP2 	ARF6
CYP2C9 	MEPCE
UCK1 	AKAP10
NAGS 	TNFSF9
HOGA1 	NDST1
RBBP4 	EDA
FBXL3 	GGA1
APLP1 	XRCC4
CTDP1 	KLRK1
ETFA 	CLIC4
PREP 	MAP2K1
PGAM5 	RAB11A
NPM2 	PACSIN1
KIF22 	NET1
MSL3 	CCNA2
ATAT1 	ABHD14B
TGM2 	CHKB
RAE1 	TGM2
CHMP1B 	ADA
SPTB 	TCEB2
JUND 	GGT1
NCF1 	PCTP
CRYBB3 	FKBP3
KMT2D 	DDX20
YWHAG 	HPN
TRIM72 	SGOL1
ELK4 	CHKA
ACYP1 	ASB9
DPP7 	GADD45G
RAB11FIP2 	SNRPD2
SMYD3 	CDC34
BCAR1 	SLAMF1
FAIM 	CTDP1
CHKB 	APOA4
APOA4 	FDPS
AHCY 	SLK
MTR 	CLTC
CDC20 	SULT4A1
MEFV 	BRCA2
AMPH 	WRNIP1
TDP1 	LHPP
DCC 	S100A3
NOD1 	DDX10
CUTC 	UCK2
MPST 	CDKN1B
ADAM33 	UBE2L3
GBP1 	DUSP14
HEBP2 	G6PD
PTPN18 	METAP2
MTRR 	IRAK4
CSTA 	CRYM
OXCT1 	PIM2
ZC3HAV1 	SRPK2
NUDT1 	CCNT2
YWHAQ 	DDX47
NUMBL 	RAB3D
ADSL 	NOS3
LIMS1 	RNF8
RTF1 	RND1
SEPT3 	CBX2
P4HB 	LIMS1
RANBP2 	P4HB
L3MBTL3 	NDST1
SPRY2 	NET1
LRRK2 	ARHGEF4
MERTK 	RAB11FIP2
CSAD 	NR1D1
RBX1 	SEPT3
HAGH 	CASP1
GRM5 	HVCN1
EZR 	RAB7A
HDDC3 	SNF8
GMFG 	SUMO3
QPRT 	OGG1
PIK3CA 	NDC80
SACS 	MSL3
RAB11FIP3 	TNC
OCRL 	BAIAP2
HHIP 	SNAP25
SNF8 	VHL
MITD1 	ALDH1L1
EXOSC10 	FGF8
PDZK1 	SULT1E1
CYGB 	ING5
ARL6 	CCND1
RPA3 	KYNU
RPL30 	SACS
TLR4 	TXNL4B
BAI3 	HAAO
ALDH5A1 	SULT1A3
ADAM17 	NMRK1
CAMTA1 	MMP10
TRAPPC4 	GRB2
FOLR2 	EPHA3
RND1 	TNFAIP6
ATAD2B 	ACVR2A
CYFIP1 	LTC4S
SCAF8 	COL4A3BP
TGFBR1 	MLF1
SULT1C2 	PIK3CA
STK32A 	GSG2
ZRANB1 	DNM3
ADA 	FABP5
SOX9 	CTNNB1
METTL21A 	PRPF4
STAU1 	DPYSL2
WARS 	PLEKHA4
PPIL1 	IHH
CDCA8 	HNRNPA1
KDM4A 	CBFB
TBK1 	NR1D2
DGUOK 	RIPK1
PDE6D 	PPIL2
APLP1 	SIRT2
GOLGA4 	CACNA1S
ADPRH 	TUBG1
AGFG1 	DYRK1A
LIMK1 	CA2
ARID3A 	HSPA1L
NUDT9 	BACE1
PLCB2 	CHIT1
PIP4K2A 	QPCTL
AGFG1 	PTPRB
PPARGC1A 	PDLIM2
GGPS1 	CCNK
CHFR 	MAD2L1BP
RBL1 	ACAT1
MYOM1 	PTPRN
RNASET2 	MST4
MAPRE3 	GLOD4
CRYAB 	NEDD4L
LMO2 	PLXNA2
BCAR3 	PGAM1
CTPS1 	LRRK2
BCORL1 	YWHAB
DUSP4 	C12orf5
FOLR2 	CTNND1
ARHGAP9 	BCL2A1
GLRX5 	HEXA
LARP4 	ACP6
CPS1 	TNFRSF21
IL5RA 	HSBP1
CCDC8 	ME2
JUN 	USP21
PRKG1 	PRDX6
KLC2 	WDR61
APC 	OARD1
MX1 	IDH2
TUBG1 	NLGN4X
CHMP1A 	RET
PALB2 	CBR3
BMX 	XPC
PRPF31 	TOP1
HNRNPL 	KLRK1
HNRNPL 	ITPK1
CDC16 	TNFAIP6
CISD2 	ABI2
PMAIP1 	DVL2
STEAP3 	DCC
DUSP9 	EPHA7
FKBP6 	MYOM1
SYT1 	PRPSAP2
PGAM1 	CPSF3
MINA 	PPT2
SEMA7A 	SERPINI1
PPP2R5C 	DNAJC3
TIRAP 	TAX1BP3
QPRT 	RGS3
HSPB1 	IFIT1
GNE 	POLD2
EGFR 	MPDZ
CSK 	SULT2A1
KRAS 	TREX2
SERPINA12 	MAPK9
ITGB1BP1 	CAPN1
ANTXR1 	ACSS1
CTDSP2 	MMP16
ESR2 	DDX10
BBOX1 	NMNAT1
DCTD 	ADAR
UBE2B 	GLMN
MARK3 	NBR1
DLG2 	TASP1
NCKAP1 	HSPA1A
PLEKHA1 	CLCN5
CDK2 	GLS
DCTN6 	PTPRN2
MAPT 	GSPT1
GP1BA 	STYX
NEK1 	ITGB1
PTPRG 	DDX58
CDC27 	RADIL
PAK1 	TUBGCP4
LNX2 	IL20RA
KDM6B 	NPM1
NCK2 	GUCY1B3
NAT2 	CLK3
RPA3 	ITGB1BP1
HBEGF 	UBE2V2
CCND1 	UCK1
ARFGEF2 	HADH
ARF5 	TMEM173
GPD1L 	AP2B1
ASMTL 	SENP8
MAGEA4 	TAF1L
ACOT13 	MSH2
STEAP3 	ALDOC
PDCD10 	WIF1
BRD2 	ITGB7
TNFRSF17 	PITPNA
SPDEF 	DUSP6
FRAT1 	MALT1
IMPA1 	ITPA
MRI1 	CENPB
NDOR1 	RAB25
RBL1 	HSDL2
RNASET2 	CTNNBL1
SPIN1 	ATG4A
NMNAT1 	SHARPIN
IGF1R 	PHKG2
RRAGC 	KRIT1
TAF5 	ITPKC
GALNT2 	PCSK9
GLS2 	POLRMT
MVB12B 	S100A9
YES1 	AK1
NOS2 	ZHX1
SMN2 	PLXNB2
CDA 	CYGB
TEK 	RABIF
RBBP9 	RANBP1
ACO1 	CA7
GLUL 	THRA
NOS3 	MSRB1
PKD2L1 	KPNA1
MOCS2 	KLRD1
CD44 	IST1
ERN1 	DDX52
PLEKHA3 	GGA3
ACBD7 	SDS
PTPRO 	RP2
KCNIP1 	UPF3B
TTN 	RANBP2
CAPN7 	TTPA
FANCE 	LEPR
ETFA 	MGAM
APLP1 	SKI
KIF2C 	USP8
PRCP 	HIBADH
SIRT5 	DIRAS2
PGLYRP4 	ABCC1
NPM2 	AQP5
MAP3K9 	PPP2R2A
NONO 	INMT
INPPL1 	TRAPPC6B
CENPA 	SH3KBP1
NRIP1 	HGD
C1S 	PPM1A
RABGAP1L 	JMJD1C
ENO3 	RGS7
PIAS2 	BMI1
SND1 	SEMA7A
UROS 	MBD4
ANLN 	RRP9
IGHMBP2 	GOPC
BARD1 	DUSP6
HEXA 	LANCL1
EFNA1 	THRB
SEC14L2 	DAO
DGCR8 	KIF3B
GOSR2 	C1S
SOS1 	UMPS
SHARPIN 	CLCNKA
HK2 	UBE2J2
MAGI1 	SLC4A1
CYP2B6 	NCBP2
PTPRK 	MST1R
FANCM 	HDAC4
GSS 	CCND3
FABP9 	FABP3
THRB 	ERG
SCMH1 	MGAM
EFNA1 	PDE6D
HBP1 	COLEC12
MECR 	KAT6A
MS4A1 	CA3
CDKN2D 	UGDH
SULT1A4 	PIWIL1
FABP5 	RRAS
PRPS1 	NHEJ1
CAPS 	MX1
PANK1 	KLRD1
GOLGA4 	AIMP1
HPGDS 	DCLRE1B
ARL5A 	CST7
FABP4 	FABP9
ELMO1 	RND3
CTDP1 	CLIC2
CBL 	KAT8
PSMG3 	YWHAQ
SMAD4 	PPM1B
SRI 	HK3
ITCH 	PRMT5
PPP2R3B 	RELA
KYNU 	RAD23A
SNX24 	NMNAT1
SPON1 	CTBP2
TSG101 	ACYP1
HSPB11 	MLF1
PLEKHA1 	IGBP1
TYMP 	CCNK
NFKB1 	PLEKHO1
TBX1 	RPE
ERP27 	ME1
MEIS2 	TOM1L1
SNX3 	ZFPM1
HMOX2 	PSPC1
RAB35 	MS4A1
TWF2 	KDM4A
EYA2 	PRPS1
PCNA 	GSN
GIMAP1 	FECH
KIF9 	SULT1E1
DDX58 	MMP10
PDCD6IP 	GNB2L1
GLA 	KAT5
SND1 	BIRC2
ZBTB16 	CASP6
FGF4 	ENO3
PMM1 	CPSF4
RACGAP1 	RECQL5
MAGEA4 	PAK2
TNK2 	POLR2D
BAG5 	HINT2
GGA2 	CLK1
RUNX1 	MCIDAS
PEX3 	PTGDS
DCLRE1B 	CTPS2
GEMIN2 	PMVK
KCNK9 	ANPEP
KCNJ4 	CREBBP
HTRA1 	ALDH1L1
DECR1 	AURKB
PKP1 	MAP3K9
FASN 	HS3ST3A1
KMT2D 	VRK2
RORC 	IL18
KLC2 	HIP1R
NUDC 	SAT1
PDE6G 	RASL12
DDX58 	HSD17B14
AGFG1 	HAAO
MERTK 	CDK16
ABCB10 	HDAC8
TCF7L2 	GPX8
NFRKB 	TPX2
NR1D1 	GALNT2
S100A6 	NT5E
DUSP19 	TRAPPC4
LNX2 	CRYZ
PIK3R1 	PTP4A1
MAOA 	NFKB1
LHPP 	ABL1
L1TD1 	SETD1A
TOP2A 	DYRK1A
ATF4 	GIMAP4
SETD8 	UNC119
PRIM1 	BPIFA1
SMAD2 	EPHB4
TNC 	LAIR1
MKNK2 	UPF3B
EFNA1 	METAP2
ACOT7 	RECQL
UNG 	SNX24
CDKN3 	NR0B2
ERP29 	GGA1
ASH1L 	BMX
GRHPR 	ZDHHC17
ERI1 	PDLIM1
PPIA 	BLVRA
NDNL2 	CARHSP1
AK4 	SERPINB3
MGAM 	S100A8
NR1H3 	LNX1
CUL4B 	SET
DBF4 	DYNLRB1
SCIN 	ADAM8
TXN 	DHX9
TLR2 	ACD
EIF2B5 	DLG1
VDR 	RIN3
S100A6 	LGMN
DAPK3 	ANKRD27
MMACHC 	ACTN1
SLBP 	SRR
HNRNPL 	TXNL1
VEGFC 	MAP3K5
TCF7L2 	MLF1
PDE2A 	MTHFS
RBBP4 	RYR3
NGLY1 	SULT1A2
CBX3 	CDCA8
SEPHS1 	BUB1
MUT 	PYCR1
ARHGAP35 	TH
GSTZ1 	VRK2
ARHGAP35 	SULT4A1
SACS 	HMBOX1
PARG 	PSPH
DCAF4 	RRAD
ENAH 	LMO2
CACNA1C 	TYMP
SMS 	DUT
GTF2F2 	UBE2D3
PRPF31 	ANKRA2
MST4 	NR2F2
CYP2C9 	GGPS1
CKMT2 	PECR
DCC 	FCN1
KLHL11 	RTF1
GUCY1B3 	RBM17
DHX9 	BRD3
BRPF1 	PPWD1
APPL1 	POLR3C
RAMP1 	DHRS11
CHMP1A 	DCLRE1C
NRP2 	CRTAM
CHI3L2 	PAK1
IL22RA2 	NRIP1
SULT1C4 	HSBP1
ACD 	BRPF3
LIMS2 	RAF1
UBA3 	PRMT5
POLH 	C3
STRADA 	CRYL1
NR1I3 	CLASP1
MAT1A 	CIAO1
TRAF6 	GATM
SMN2 	MACROD2
AIMP2 	GGPS1
HSPA6 	GRB7
CCNK 	CLOCK
ADAT2 	PMS2
GOT1 	UGT2B7
EIF2B1 	SPTB
FKBP6 	RPE
STX10 	CAPN2
FIGF 	VPS16
TIRAP 	LONP1
UBAP1 	PIWIL1
S100A13 	ARHGDIB
TTN 	KCNH2
SETD6 	TDRD5
ACE2 	PARP16
DHX9 	TLN1
ADAMTS1 	CD5
CCBL1 	PRSS8
MPP7 	RELA
CSNK2A2 	WWP1
SSH2 	PCBP2
ASL 	S100P
PDCD10 	DMC1
SF1 	ECHDC3
TRIM33 	ILK
HSBP1 	FDPS
SNUPN 	XRCC6
HRAS 	MTR
TNFRSF4 	GAD2
TATDN3 	CDK8
FSCN1 	ACACB
FCER2 	RABIF
EFNA2 	TATDN3
FAHD1 	C9orf89
GLS 	NR3C1
PLEKHA3 	NCR3LG1
RGS16 	GFRA3
APPL1 	ADAMTS5
QPCT 	TBX3
UBE2T 	TNNT2
RIN3 	RAB11B
CSNK1G3 	IL20
CA2 	WDR92
CAMK2B 	KDM4C
CABP1 	TGFBI
SRPK2 	GPX2
NT5C 	RAB27B
SULT1C2 	PDCD10
F2RL3 	PCGF1
UBE2U 	AGAP2
CAT 	HDAC4
DLG3 	KAT8
PIWIL1 	CIB1
GLA 	SACS
FKBP6 	PANK1
RABGEF1 	OTUB2
PUS1 	B3GAT1
RARA 	PAICS
MAPT 	PTPRG
LRRC4 	RGS16
GATM 	PAPOLG
EIF4A2 	TIGIT
LIG4 	CBX4
CYB5R4 	DCUN1D1
VPS16 	RAE1
EGLN1 	TRIM72
LRRC4 	MAD2L1
RRP9 	EIF4A3
MYBPC3 	RAD51
WDYHV1 	DGCR8
ERBB4 	CYP2E1
RMI1 	PMVK
JAK2 	ATG16L1
MUM1 	CPSF6
RCVRN 	WDYHV1
MGEA5 	TAB1
PAK4 	SUN2
ASPA 	FOLR1
CDC27 	PLEC
NT5E 	NCAM2
PSMD10 	ATAT1
CRYBA4 	ECE1
FAP 	MYH9
TMEM173 	MS4A1
MSH6 	GCC2
MAD2L1 	C1QTNF5
TNC 	DHPS
GRB7 	NFKBIA
NR4A2 	NEO1
APEX1 	BTK
CLEC9A 	RNF146
TATDN3 	NOG
CYP2A13 	DSP
CYB5R4 	OGT
SKI 	IL22RA1
DDB1 	YAP1
MCIDAS 	CAMK1D
UBE2S 	ARHGDIA
NPC1L1 	KDM5A
FGF10 	MTERFD1
PRDX6 	HSP90AB1
PAICS 	TLE1
FAP 	SETD2
BACH2 	IDH1
TNIK 	OAS1
PRNP 	SGK1
PPWD1 	KMT2A
C11orf54 	COLEC12
PDK1 	ACY1
NFE2L2 	RUNX1
PAX5 	CAB39L
CD209 	TNNT2
UEVLD 	LY96
CSK 	SPINT1
PIK3R2 	CAMK1
HK2 	EDC3
NUDT16L1 	KCNK9
RAB21 	TP73
SDS 	PPP2R3A
GIPC2 	NCAM2
GLRX3 	EFNA2
PRNP 	PCTP
DLG1 	ACSS1
STEAP3 	APITD1
NCOA5 	KDM4C
TBX1 	NMT1
CDK6 	EIF5A
ARFGEF2 	DHRS11
PABPC3 	TK1
TCERG1 	VPS26A
GLRX5 	ITGB1BP1
SEPT2 	ARHGAP15
CRHR1 	DLG2
ZBTB17 	HGD
TYMP 	HGF
BIRC3 	CBX1
STK25 	RNF146
RPS6KA5 	SNTB2
MYH7 	ATG12
TIMM44 	PTPN13
CIB1 	GABBR2
CAPS 	E2F4
RHCG 	LNX1
NMNAT1 	RHCG
TREML1 	DUPD1
SOS1 	DMAP1
PRKCB 	TRPV2
PIP4K2A 	SENP8
CYP1B1 	KCNJ4
NHP2L1 	METAP2
KIT 	KHDRBS1
DYNLL2 	CLIC4
RMI2 	RYR3
PHF2 	PPARG
KLRC1 	ESRRG
ROCK2 	AURKB
CASP2 	PAX5
TAF9 	CASP2
SNTB2 	HNRNPL
ACVR1 	RSPO1
LONP1 	POLK
CYP7A1 	TLN1
RHEBL1 	PDE7A
DCLRE1A 	MAPKAPK3
PDE6G 	JAK1
CFH 	AHCYL1
EIF4G3 	GALNT10
AHCYL2 	PTPRJ
CUL3 	KCNJ4
GGCT 	ADAP1
UBE2L3 	GRIN1
HMGCR 	PASK
AQP4 	DPP7
INSC 	S100A3
TP63 	UBE2V2
LGMN 	ARID3A
FAS 	CRYAB
ARL2 	MASP2
CHMP4B 	TNFSF13B
ACBD7 	STYX
PDCD6IP 	LAMP3
FKBP4 	NFKBIA
PHF21A 	NEDD4L
HCN2 	NRIP1
SGTA 	HAO1
ALKBH3 	EIF5
WEE1 	HSPB11
SLAMF1 	FKBP6
MMP10 	DCAF4
PARG 	PACSIN2
RAB14 	PARK7
PUM1 	PDGFRB
IL20 	ELK4
FNTA 	PREP
ERP27 	GCA
TRIM24 	CUL3
RANGAP1 	DDR2
NR2C2 	HEG1
PRNP 	HRSP12
DNM1L 	RHCG
MMP1 	GFER
NUDC 	ARSB
LAIR1 	L3MBTL3
HTT 	SOCS2
AGR3 	MAP3K2
ASAP3 	LGMN
CUL5 	SACS
TTPA 	NFATC2IP
JMJD6 	CA7
TFAM 	ITGB2
MEPCE 	TPK1
MAD2L1BP 	DCAF6
BRDT 	SRI
ACADSB 	GNB2L1
HDHD1 	RANBP2
CBX3 	MIF
SEPT2 	HSPA2
IDH1 	GPX8
CYP11A1 	GIMAP1
TXNIP 	GINS1
DNMBP 	NR2F2
CIB1 	IDH2
HSPB11 	RMI1
PECR 	TOP2B
SEC13 	HIBCH
FGFR2 	SNRPD1
ARHGAP35 	IMPDH2
UBQLN3 	NUDT16L1
INADL 	OTUB2
PDLIM1 	HBEGF
SCRIB 	NUTF2
AGO1 	GSPT1
MACROD1 	RHCG
HIF1A 	KARS
SUV420H2 	EGLN1
CASP2 	ME1
PHF8 	NAA50
CASP6 	PICK1
BBOX1 	IMPA1
NCOR2 	CDC26
MERTK 	HIST1H1E
DLC1 	SULT1C2
CAPN7 	HMBOX1
RLBP1 	SRXN1
ARHGEF1 	MKNK2
KIFC1 	TAF10
GNAI1 	BDH2
TNFAIP6 	PLCB3
HAT1 	SCRIB
RXRB 	SAR1A
CLC 	RUVBL2
FLCN 	HDAC4
IL22 	TPX2
ATF4 	UBE2F
GSTZ1 	ARSB
DNMT3A 	PCTP
LMAN1 	MASP1
SMN1 	C11orf30
PC 	ANGPT2
BTBD2 	NUDT5
CAMTA1 	ERBB4
FKBP3 	PTPRF
E2F2 	C1S
BCL2L2-PABPN1 	CHMP3
PLEKHA4 	CFH
PPM1K 	RTF1
CSK 	DDX47
FGF4 	FOLH1
SMAD2 	PDE7A
DDX5 	NOD1
TP53I3 	GNAI1
KMT2B 	HEBP2
ACVR1 	CYP2B6
PECR 	CHI3L2
FECH 	TAL1
RXRB 	KCNIP1
RAD23A 	FNTA
HSPBP1 	MMAA
POLK 	ARSB
MTOR 	PRMT5
DUSP18 	ZC3H12A
MATK 	PMAIP1
HEBP2 	CAB39
PLEKHM2 	CLK1
SNUPN 	SNRPA1
MSRB1 	COL10A1
GAS6 	ALK
GRM1 	IPO13
DAPK1 	SOCS6
GALM 	SCML2
BSG 	GNB2L1
CCNT1 	EBF1
DIRAS2 	FGF12
MMAA 	CENPE
PRCP 	ADAP1
SULT1A3 	STARD5
EPHB4 	ITPK1
SEPT2 	PDCD4
CCBL1 	CUTA
NCR3LG1 	SLAIN2
NUDT16 	RNF41
PABPC3 	SNF8
AAMDC 	TAF1
SNF8 	CBX7
PABPN1 	TPX2
ANGPT2 	ZAP70
ANXA6 	PPP2R3B
CYP1A1 	WWP1
BOC 	DUSP4
